episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
20,1.0,0.615939636261651,0.46217944398347943,131.54605183742478,8.748398522412622,0.5,[8.748398522412622 0.5],0.0,False,True,0.4211336631282111,0,33.27526529517031,105.468,prepare,0.0
20,2.0,0.6159916799064398,0.4620473612496936,131.57731954402618,20.293883789910225,0.8817138983053864,[20.293883789910225 0.8817138983053864],1.0,False,True,0.4207329340821817,0,33.27526529517031,105.538,in_progress,0.0
20,3.0,0.6099176289718876,0.46751651163686125,131.7072770390998,30.0,0.5459215491351568,[30.0 0.5459215491351568],1.0,False,True,0.4451419973961387,0,33.27526529517031,105.606,in_progress,0.0
20,4.0,0.5946426881961939,0.4735881094453437,133.5032076082947,-1.1301687228721242,0.9560932465327523,[-1.1301687228721242 0.9560932465327523],1.0,False,True,0.4892553519795856,1,33.27526529517031,105.67,in_progress,0.0
20,5.0,0.5692666996859235,0.4941621219696031,134.46013597239605,-1.6726810498603477,0.7899392322157401,[-1.6726810498603477 0.7899392322157401],1.0,False,True,0.586116741023691,1,33.27526529517031,105.714,in_progress,0.0
20,6.0,0.5422945711437525,0.5232331256543428,134.16398397519313,-6.042220037181455,0.9485979194369152,[-6.042220037181455 0.9485979194369152],1.0,False,True,0.7052634912026875,1,33.27526529517031,105.806,in_progress,0.0
20,7.0,0.5112115592945443,0.5656266374487712,132.4584777388546,9.702821861955812,0.6847077988851642,[9.702821861955812 0.6847077988851642],1.0,False,True,0.8625591566965152,1,33.27526529517031,105.866,in_progress,0.0
20,8.0,0.47422806414294233,0.6017183712756402,133.21037385158348,-30.0,0.6211228551146822,[-30.0 0.6211228551146822],1.0,False,True,1.0174742224128597,1,33.27526529517031,105.931,in_progress,0.0
20,9.0,0.42550787305095744,0.6479043656957368,134.19657173196126,-30.0,0.629001053997825,[-30.0 0.629001053997825],1.0,False,True,1.2184788292261384,1,33.27526529517031,105.999,in_progress,0.0
20,10.0,0.39996041197933996,0.6758922364593304,133.89480348197353,-1.0625648118556548,0.5123464164653772,[-1.0625648118556548 0.5123464164653772],1.0,False,True,1.3323500237072832,1,33.27526529517031,106.069,in_progress,0.0
20,11.0,0.36483775994711737,0.7149202126768786,133.51729076643312,-28.297232020071135,0.8529553368744821,[-28.297232020071135 0.8529553368744821],1.0,False,True,1.4901366549347264,2,33.27526529517031,106.133,in_progress,0.0
20,12.0,0.3385887179479355,0.7514225465377914,132.09444900393245,-30.0,0.7674400084643942,[-30.0 0.7674400084643942],1.0,False,True,1.624541228346758,2,33.27526529517031,106.195,in_progress,0.0
20,13.0,0.3132944091223748,0.8108241843226964,127.32453584003713,-4.908607811827213,0.6406990354318807,[-4.908607811827213 0.6406990354318807],1.0,False,True,1.808499315653223,2,33.27526529517031,106.263,in_progress,0.0
20,14.0,0.29241918554460306,0.854491114101607,124.94069961645151,26.691273174899123,1.0,[26.691273174899123 1.0],1.0,False,True,1.9481507592502323,2,33.27526529517031,106.335,in_progress,0.0
20,15.0,0.25585524722544045,0.8991145533570236,125.9781780754236,13.142854212980737,1.0,[13.142854212980737 1.0],1.0,False,True,2.1213708087007777,2,33.27526529517031,106.401,in_progress,0.0
20,16.0,0.20850584696727967,0.9353234064633731,129.93736315827059,-30.0,0.6534517904799321,[-30.0 0.6534517904799321],1.0,False,True,2.297298890953753,3,33.27526529517031,106.472,in_progress,0.0
20,17.0,0.16092498509014985,0.9734023825817666,132.80132388914956,-1.9509187202471132,1.0,[-1.9509187202471132 1.0],1.0,False,True,2.477883821526113,3,33.27526529517031,106.539,in_progress,0.0
20,18.0,0.12067593710787278,1.0139922963998504,133.2676395688966,-30.0,0.534579710051334,[-30.0 0.534579710051334],1.0,False,True,2.649431223403865,3,33.27526529517031,106.601,in_progress,0.0
20,19.0,0.08152215065305973,1.059690061562274,132.68984666752837,17.73607752596388,0.8085659764548274,[17.73607752596388 0.8085659764548274],1.0,False,True,2.8303108662367715,3,33.27526529517031,106.673,in_progress,0.0
20,20.0,0.04254555504857302,1.0991366497141106,133.195133231541,-30.0,1.0,[-30.0 1.0],1.0,False,True,2.9968378004492635,3,33.27526529517031,106.736,in_progress,0.0
20,21.0,-0.0001424940784937878,1.1497055668885094,132.43899541645183,-28.74168209109608,0.8784498981876354,[-28.74168209109608 0.8784498981876354],1.0,False,True,3.195564027223863,4,33.27526529517031,106.803,in_progress,0.0
20,22.0,-0.023585634878201686,1.1951112537005073,129.30327365455753,-10.778354138369235,0.7387262295760754,[-10.778354138369235 0.7387262295760754],1.0,False,True,3.3438225137121225,4,33.27526529517031,106.874,in_progress,0.0
20,23.0,-0.051549620986806745,1.2456845203187197,126.87289085540472,30.0,0.7277067478263173,[30.0 0.7277067478263173],1.0,False,True,3.512710121001873,4,33.27526529517031,106.928,in_progress,0.0
20,24.0,-0.08221008954044333,1.2908636016683555,126.2650129504817,-21.56136067511655,0.6330897905878119,[-21.56136067511655 0.6330897905878119],1.0,False,True,3.6763092424509756,4,33.27526529517031,107.004,in_progress,0.0
20,25.0,-0.11319852994710443,1.3366888174218847,125.85739548776051,-30.0,0.798125454906228,[-30.0 0.798125454906228],1.0,False,True,3.8410749160004634,4,33.27526529517031,107.066,in_progress,0.0
20,26.0,-0.12960237224821847,1.3842551839011619,122.43506944565065,21.828924524036054,0.5,[21.828924524036054 0.5],1.0,False,True,3.9805750681842547,4,33.27526529517031,107.134,in_progress,0.0
20,27.0,-0.14529157425826472,1.4320293725845734,119.22128381883672,14.701589216530884,0.9705452764230779,[14.701589216530884 0.9705452764230779],1.0,False,True,4.119111998341996,5,33.27526529517031,107.205,in_progress,0.0
20,28.0,-0.17521636876602614,1.4734912541012744,120.23998015833843,30.0,0.9055620528438908,[30.0 0.9055620528438908],1.0,False,True,4.271963371123717,5,33.27526529517031,107.271,in_progress,0.0
20,29.0,-0.21333636044827714,1.5051928269281172,124.1937654569848,-30.0,0.7744324286956933,[-30.0 0.7744324286956933],1.0,False,True,4.4193138837330554,5,33.27526529517031,107.338,in_progress,0.0
