episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,0.6158072007081582,0.46228944561716817,131.56288547444922,-17.657693142570217,0.7365702603750388,[-17.657693142570217 0.7365702603750388],0.0,False,True,0.42164508246415816,0,33.27526529517031,488.015,prepare,0.0
80,2.0,0.6159916799064102,0.46204736124972673,131.57731954402618,27.103233486291828,0.5,[27.103233486291828 0.5],1.0,False,True,0.4207329340821819,0,33.27526529517031,488.08,in_progress,0.0
80,3.0,0.6112693824589757,0.465138488702427,131.8381981904932,30.0,0.9560668057717702,[30.0 0.9560668057717702],1.0,False,True,0.4371000774036138,0,33.27526529517031,488.145,in_progress,0.0
80,4.0,0.5995984721490877,0.4709965795734035,132.98741194700423,30.0,0.5,[30.0 0.5],1.0,False,True,0.4735456961443481,1,33.27526529517031,488.215,in_progress,0.0
80,5.0,0.571319549141589,0.4821475760919237,136.10642087158976,7.603873758811218,0.8201352384922709,[7.603873758811218 0.8201352384922709],1.0,False,True,0.5550127241282917,1,33.27526529517031,488.279,in_progress,0.0
80,6.0,0.5410389305819491,0.49730870532292387,138.55752911655094,-25.153394840325873,0.6387540532521562,[-25.153394840325873 0.6387540532521562],1.0,False,True,0.6494870376828275,1,33.27526529517031,488.347,in_progress,0.0
80,7.0,0.5095628673016208,0.5353878769581235,136.74248518479666,-30.0,0.9512636112942735,[-30.0 0.9512636112942735],1.0,False,True,0.7978675280596527,1,33.27526529517031,488.408,in_progress,0.0
80,8.0,0.4915673023408741,0.574105706501423,132.99836270281983,-30.0,0.5603141017909617,[-30.0 0.5603141017909617],1.0,False,True,0.9208249703970328,1,33.27526529517031,488.492,in_progress,0.0
80,9.0,0.480554496125565,0.6167317161412842,128.02919023589894,14.502712687319473,0.9477885430960523,[14.502712687319473 0.9477885430960523],1.0,False,True,1.0385878999904286,1,33.27526529517031,488.563,in_progress,0.0
80,10.0,0.46311955988786785,0.6641125246227808,124.45787186207541,25.18171719787884,0.5,[25.18171719787884 0.5],1.0,False,True,1.1798504641379577,1,33.27526529517031,488.627,in_progress,0.0
80,11.0,0.4399900885062735,0.6937716364129699,124.95405507738135,-11.964789788978248,0.5,[-11.964789788978248 0.5],1.0,False,True,1.2926523321743515,1,33.27526529517031,488.677,in_progress,0.0
80,12.0,0.41693995163959546,0.7220780217516961,125.59290826641204,15.933756770274265,0.6628169103771202,[15.933756770274265 0.6628169103771202],1.0,False,True,1.4022560904928887,2,33.27526529517031,488.733,in_progress,0.0
80,13.0,0.3867023518145538,0.7575619565969829,126.42833233111278,29.819460124036503,0.9003982395589303,[29.819460124036503 0.9003982395589303],1.0,False,True,1.5423309679604427,2,33.27526529517031,488.809,in_progress,0.0
80,14.0,0.3640243386156653,0.7717227029688578,128.7995134517462,23.492732626111106,1.0,[23.492732626111106 1.0],1.0,False,True,1.6194045479952883,2,33.27526529517031,488.872,in_progress,0.0
80,15.0,0.312935421233697,0.7955798811432945,134.61667225292186,15.881132435287867,1.0,[15.881132435287867 1.0],1.0,False,True,1.774959122675468,2,33.27526529517031,488.947,in_progress,0.0
80,16.0,0.2366542204305262,0.8259798245885807,141.81122131680866,-30.0,0.7583228589267285,[-30.0 0.7583228589267285],1.0,False,True,1.995779580317044,2,33.27526529517031,489.013,in_progress,0.0
80,17.0,0.18109715972399973,0.8558317060166356,144.34248198010738,19.133413505550514,0.831451212230649,[19.133413505550514 0.831451212230649],1.0,False,True,2.1738726638371073,2,33.27526529517031,489.069,in_progress,0.0
80,18.0,0.15412186256893573,0.8772230050303618,143.9264400741293,-30.0,1.0,[-30.0 1.0],1.0,False,True,2.2758108768386967,2,33.27526529517031,489.138,in_progress,0.0
80,19.0,0.10553126331695036,0.916142145374923,143.2744816167524,-18.507561493195567,0.624247893220454,[-18.507561493195567 0.624247893220454],1.0,False,True,2.4603000109239854,3,33.27526529517031,489.214,in_progress,0.0
80,20.0,0.06647523782652505,0.9646932906112852,139.74290840755125,-17.26663330706174,1.0,[-17.26663330706174 1.0],1.0,False,True,2.647313770721894,3,33.27526529517031,489.286,in_progress,0.0
80,21.0,0.03514415891117005,1.0095332176629208,136.5800046049107,-1.3210414971575837,0.5383330275263083,[-1.3210414971575837 0.5383330275263083],1.0,False,True,2.813051398932556,3,33.27526529517031,489.344,in_progress,0.0
80,22.0,-0.01525892744825312,1.0706495626543526,134.5275613670514,-30.0,0.8678134442378144,[-30.0 0.8678134442378144],1.0,False,True,3.050817436388091,3,33.27526529517031,489.412,in_progress,0.0
80,23.0,-0.03488571689853466,1.090953471689569,134.48679941499364,9.269150284342004,0.7224171460931472,[9.269150284342004 0.7224171460931472],1.0,False,True,3.1356497779270005,3,33.27526529517031,489.465,in_progress,0.0
80,24.0,-0.07749175123766301,1.1311683887079798,134.96350794540726,1.0166479080998911,0.9003754479866775,[1.0166479080998911 0.9003754479866775],1.0,False,True,3.3112388051819477,4,33.27526529517031,489.552,in_progress,0.0
80,25.0,-0.11542638862531182,1.1719096075788022,134.50456991738034,-30.0,0.7953203649921363,[-30.0 0.7953203649921363],1.0,False,True,3.478525718817867,4,33.27526529517031,489.619,in_progress,0.0
80,26.0,-0.14747479946903827,1.2170630793017545,132.78558936705562,-13.471415813468578,0.7524939831301767,[-13.471415813468578 0.7524939831301767],1.0,False,True,3.643669049675766,4,33.27526529517031,489.681,in_progress,0.0
